"category","subcategory","layer_name","description","geometry_type","source_provider","source_type","endpoint_url","ingestion_method","priority","region_scope","notes"
"archaeology","archaeological_sites","berlin_aisber_archaeological_sites","Archaeological find sites from the Berlin AISBer archive","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/arch_fundstellen?service=WFS&version=2.0.0&request=GetFeature&typeNames=arch_fundstellen:arch_fst&outputFormat=application/json","postgis","critical","regional","Feature type arch_fundstellen:arch_fst"
"archaeology","archaeological_sites","berlin_aisber_ground_monuments","Protected ground monuments from the Berlin AISBer archive","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/arch_fundstellen?service=WFS&version=2.0.0&request=GetFeature&typeNames=arch_fundstellen:arch_fst_bodendenkmale&outputFormat=application/json","postgis","critical","regional","Feature type arch_fundstellen:arch_fst_bodendenkmale"
"archaeology","archaeological_sites","hessen_denkx_ground_monuments","Archaeological monuments from hessenARCHAEOLOGIE shown as monument center coordinates with legal effect radius","point","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3AarchaeologischesDenkmal/items?f=json","postgis","critical","regional","OGC API Features collection denkx:archaeologischesDenkmal"
"archaeology","archaeological_sites","dai_jazira_archaeological_sites","Archaeological site dataset for the Jazira region of Syria from DAI GeoServer","point","Deutsches Archaeologisches Institut","WFS","https://geoserver.dainst.org/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=geonode:sites&outputFormat=application/json","postgis","high","regional","Feature type geonode:sites"
"archaeology","archaeological_sites","osm_archaeological_sites","OpenStreetMap archaeological sites and historic features for survey context","point","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags historic=archaeological_site or archaeology=* or site_type=*"
"archaeology","archaeological_sites","dai_gadara_archaeological_sites","Gadara archaeological sites from DAI GeoServer","point","Deutsches Archaeologisches Institut","WFS","https://geoserver.dainst.org/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=geonode:gadara_sites&outputFormat=application/json","postgis","medium","regional","Feature type geonode:gadara_sites"
"archaeology","roman_infrastructure","dai_barrington_atlas_roman_roads","Topologically cleaned Roman roads from the Barrington Atlas dataset","line","Deutsches Archaeologisches Institut","WFS","https://geoserver.dainst.org/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=geonode:ba_roads_clean&outputFormat=application/json","postgis","critical","global","Feature type geonode:ba_roads_clean"
"archaeology","roman_infrastructure","dai_aurelian_wall_rome","Aurelian wall of Rome from DAI GeoServer","line","Deutsches Archaeologisches Institut","WFS","https://geoserver.dainst.org/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=geonode:aurelianwall&outputFormat=application/json","postgis","high","regional","Feature type geonode:aurelianwall"
"archaeology","roman_infrastructure","hessen_limes_core_zone","Core zone of the UNESCO World Heritage Roman Limes in Hessen","polygon","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3Awelterbe/items?f=json","postgis","critical","regional","OGC API Features collection denkx:welterbe"
"archaeology","roman_infrastructure","hessen_limes_buffer_zone","Buffer zone of the UNESCO World Heritage Roman Limes in Hessen","polygon","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3Apufferzone/items?f=json","postgis","high","regional","OGC API Features collection denkx:pufferzone"
"archaeology","roman_infrastructure","osm_roman_roads","Roman roads mapped in OpenStreetMap for broad reconnaissance","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","medium","global","Overpass tags historic=roman_road or historic=road with roman=yes"
"archaeology","burial_sites","osm_burial_tumulus_sites","Burial mounds tombs and tumuli from OpenStreetMap historic tagging","point","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags historic=tomb or site_type=tumulus or megalith_type=dolmen"
"archaeology","burial_sites","dai_gadara_tombs","Gadara tomb records from DAI GeoServer","point","Deutsches Archaeologisches Institut","WFS","https://geoserver.dainst.org/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=geonode:tombs&outputFormat=application/json","postgis","medium","regional","Feature type geonode:tombs"
"archaeology","burial_sites","osm_historic_cemeteries","Historic cemeteries and graveyards mapped in OpenStreetMap","polygon","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","medium","global","Overpass tags landuse=cemetery or amenity=grave_yard with historic=*"
"archaeology","historical_settlements","berlin_1900_aisber_areas","Georeferenced Berlin 1900 AISBer buildings parks waters and rail areas","polygon","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/berlin1900?service=WMS&request=GetCapabilities","tile","high","regional","WMS layer b_berlin1900_flaechen"
